county,n_responses,n_valid,validity_rate,median_response_min,avg_response_min,p90_response_min
Aitkin,1501,1501,100.00,12,13.86,26
Anoka,28938,28938,100.00,8,8.98,15
Becker,3296,3296,100.00,7,9.29,20
Beltrami,5587,5587,100.00,7,8.89,16
Benton,2060,2060,100.00,9,10.82,20
Big Stone,356,356,100.00,11,13.27,22
Blue Earth,5970,5970,100.00,7,8.53,15
Brown,1442,1442,100.00,6,8.53,16
Carlton,1934,1934,100.00,8,9.33,18
Carver,6682,6682,100.00,8,8.35,14
Cass,4208,4208,100.00,12,13.17,24
Chippewa,1110,1110,100.00,8,9.76,17
Chisago,4660,4660,100.00,10,11.17,19
Clay,5371,5371,100.00,7,8.87,15
Clearwater,737,737,100.00,9,11.20,23
Cook,332,332,100.00,15,17.40,32
Cottonwood,1032,1032,100.00,8,9.29,14
Crow Wing,6724,6724,100.00,9,10.50,19
Dakota,38364,38364,100.00,7,7.53,12
Dodge,1506,1506,100.00,11,11.30,18
Douglas,2928,2928,100.00,7,9.42,18
Faribault,1434,1434,100.00,8,9.88,17
Fillmore,1948,1948,100.00,9,11.38,18
Freeborn,3185,3185,100.00,6,8.07,15
Goodhue,4455,4455,100.00,7,8.79,16
Grant,394,394,100.00,12,13.67,25
Hennepin,153712,153712,100.00,7,7.54,13
Houston,1156,1156,100.00,10,11.41,19
Hubbard,1926,1926,100.00,9,11.53,21
Isanti,3203,3203,100.00,10,11.38,20
Itasca,4603,4603,100.00,9,11.90,22
Jackson,620,620,100.00,8,9.48,16
Kanabec,1588,1588,100.00,8,9.79,18
Kandiyohi,3820,3820,100.00,7,8.57,15
Kittson,319,319,100.00,13,15.55,28.2
Koochiching,1282,1282,100.00,7,13.88,29
Lac qui Parle,421,421,100.00,8,12.06,21
Lake,1073,1073,100.00,8,12.75,30
Lake of the Woods,301,301,100.00,15,20.26,37
Le Sueur,1695,1695,100.00,8,9.33,16
Lincoln,317,317,100.00,10,11.35,19
Lyon,1933,1933,100.00,6,7.57,14
Mahnomen,923,923,100.00,8,10.97,21
Marshall,537,537,100.00,11,15.05,29
Martin,1953,1953,100.00,6,8.92,16
McLeod,2877,2877,100.00,6,8.19,16
Meeker,1585,1585,100.00,9,11.07,19
Mille Lacs,3290,3290,100.00,10,11.29,20
Morrison,2493,2493,100.00,8,11.23,23
Mower,3583,3583,100.00,6,7.73,14
Murray,571,571,100.00,9,11.52,19
Nicollet,1988,1988,100.00,7,8.07,14
Nobles,1264,1264,100.00,7,9.18,18
Norman,516,516,100.00,16,15.20,26
Olmsted,18373,18373,100.00,7,7.53,13
Otter Tail,3890,3890,100.00,9,11.30,22
Pennington,1069,1069,100.00,5,7.47,13
Pine,3505,3505,100.00,12,13.21,24
Pipestone,851,851,100.00,8,9.17,16
Polk,2836,2836,100.00,8,10.04,17
Pope,1001,1001,100.00,5,7.53,14
Ramsey,66552,66552,100.00,6,6.30,10
Red Lake,197,197,100.00,8,11.20,22
Redwood,1738,1738,100.00,8,9.71,18
Renville,1227,1227,100.00,12,13.19,21
Rice,4616,4616,100.00,7,8.49,16
Rock,730,730,100.00,10,10.85,20
Roseau,1022,1022,100.00,9,11.95,23
Scott,9932,9932,100.00,8,9.08,15
Sherburne,7912,7912,100.00,10,10.27,17
Sibley,1031,1031,100.00,7,8.67,16
St. Louis,22286,22286,100.00,8,9.47,17
Stearns,13919,13919,100.00,8,9.42,18
Steele,3460,3460,100.00,6,7.59,13
Stevens,498,498,100.00,9,10.14,17
Swift,642,642,100.00,10,11.83,19
Todd,1699,1699,100.00,9,11.22,20
Traverse,212,212,100.00,7,9.88,15.7
Wabasha,1681,1681,100.00,6,8.63,17
Wadena,1372,1372,100.00,8,10.68,21
Waseca,1343,1343,100.00,7,9.15,17.5
Washington,20959,20959,100.00,6,6.82,12
Watonwan,736,736,100.00,9,11.34,19
Wilkin,434,434,100.00,8,11.03,21
Winona,3481,3481,100.00,6,8.03,14
Wright,9329,9329,100.00,10,11.37,20
Yellow Medicine,617,617,100.00,8,11.27,18
